Nature,Fonction,Montant,,
739261,01,"21 641 223,00 €",,
73928,01,"5 113 360,00 €",,
739262,01,"8 106 856,00 €",,
73918,01,"2 160 781,26 €",,
66111,01,"9 648 344,24 €",,
6718,01,"252 725,06 €",,
6688,01,"1 015 367,37 €",,
6817,01,"2 450 000,00 €",,
65542,01,"17 038 071,00 €",,
6866,01,"242 079,00 €",,
64111,0201,"11 709 835,64 €",,
6453,0201,"4 018 283,15 €",,
64118,0201,"3 327 691,53 €",,
6451,0201,"2 343 485,82 €",,
64131,0201,"1 938 734,68 €",,
6574,0201,"1 705 310,10 €",,
615221,0202,"2 631 981,40 €",,
6184,0202,"1 034 866,87 €",,
6188,0202,"583 788,32 €",,
6156,0202,"1 501 446,71 €",,
60612,0202,"1 813 127,50 €",,
6574,0202,"120 000,00 €",,
6226,0202,"3 618 263,24 €",,
6262,0202,"1 330 734,10 €",,
611,0202,"268 939,38 €",,
6568,0202,"268 939,38 €",,
62268,0202,"3 618 263,24 €",,
6238,0202,"263 813,90 €",,
6231,0202,"108 735,10 €",,
6283,0202,"1 163 836,47 €",,
6561,0202,"1 453 561,15 €",,
62268,023,"1 680 255,43 €",,
6231,023,"696 756,24 €",,
6238,023,"724 342,96 €",,
64111,023,"584 715,13 €",,
64118,023,"155 120,03 €",,
6451,023,"146 731,83 €",,
64131,023,"204 534,42 €",,
6232,023,"422 001,54 €",,
6453,023,"203 401,51 €","4 817 859,09 €",
6531,021,"1 828 862,37 €",,
6411,021,"637 637,56 €",,
64118,021,"123 329,59 €","2 589 829,52 €","7407688,61"
6451,021,"105 047,06 €",,
6453,021,"204 790,90 €",,
6533,021,"230 122,84 €",,
6534,021,"564 550,36 €",,
6561,021,"126 000,00 €","3 820 340,68 €",
64111,048,"600 258,32 €",,
64118,048,"156 576,73 €",,
6553,12,"41 056 800,00 €",,
6228,11,"78 915,50 €",,
6574,11,"85 000,00 €",,
615221,221,"1 091 830,30 €",,
64111,221,"14 338 234,77 €",,
65511,221,"8 222 719,26 €",,
65512,221,"3 862 373,50 €",,
6453,221,"4 826 833,14 €",,
64118,221,"2 980 641,99 €",,
6451,221,"1 682 340,84 €",,
64131,221,"2 837 544,10 €",,
601,28,"5 360 876,03 €",,
6568,28,"2 526 448,08 €",,
6574,28,"105 500,00 €",,
,,,,
615221,30,"173 809,66 €",,
64111,30,"897 907,38 €",,
6453,30,"292 903,90 €",,
64118,30,"252 210,20 €",,
6451,30,"150 707,40 €",,
64131,30,"37 231,99 €",,
6574,311,"1 233 565,00 €",,
64111,311,"1 435 511,39 €",,
65736,311,"2 690 271,00 €",,
645,311,"471 449,42 €",,
65734,311,"786 405,00 €",,
64118,311,"353 678,27 €",,
6451,311,"305 613,71 €",,
6182,313,"277 083,50 €",,
64111,313,"1 358 569,20 €",,
64118,313,"272 507,51 €",,
64131,313,"214 499,80 €",,
6453,313,"452 474,37 €",,
64118,3115,"281 145,39 €",,
6451,3115,"189 902,91 €",,
6453,3115,"391 645,75 €",,
64111,3115,"1 162 596,21 €",,
6574,32,"9 288 173,52 €",,
6238,32,"1 125 312,59 €",,
64111,32,"1 091 372,16 €",,
64111,33,"512 104,72 €",,
64118,33,"106 372,22 €",,
6453,33,"167 735,01 €",,
6574,33,"1 388 963,37 €",,
64111,41,"1 845 560,74 €",,
6453,41,"605 533,48 €",,
6558,41,"651 746,29 €",,
6568,41,"576 867,88 €",,
6574,41,"492 945,00 €",,
6132,50,"1 425 804,80 €",,
614,50,"388 091,64 €",,
6251,50,"292 147,10 €",,
6331,50,"331 411,27 €",,
6336,50,"224 581,84 €",,
64111,50,"20 482 613,68 €",,
64112,50,"400 534,34 €",,
64113,50,"446 257,55 €",,
64118,50,"4 250 976,53 €",,
64131,50,"4 292 458,23 €",,
6451,50,"4 488 793,10 €",,
6453,50,"6 923 498,54 €",,
6568,50,"810 101,00 €",,
6132,51,"234 565,20 €",,
62261,51,"1 344 785,53 €",,
6251,51,"1 605 838,73",,
6336,51,"244 052,06 €",,
64111,51,"2 818 847,50 €",,
64118,51,"620 814,31 €",,
64121,51,"23 634 689,24 €",,
64131,51,"530 431,56 €",,
6451,51,"7 712 935,53 €",,
6453,51,"2 157 223,09 €",,
65111,51,"4 298 382,30 €",,
6512,51,"821 782,50 €",,
6522,51,"7 205 471,73 €",,
652411,51,"23 011 823,00 €",,
652412,51,"50 413 272,53 €",,
652413,51,"10 062 718,96 €",,
652414,51,"598 584,00 €",,
652416,51,"11 638 117,58 €",,
652418,51,"8 660 383,26 €",,
6526,51,"2 038 973,92 €",,
6574,51,"1 637 254,00 €",,
62268,52,"4 768 671,30 €",,
64111,52,"1 448 741,19 €",,
64118,52,"325 461,91 €",,
64131,52,"392 936,30 €",,
6451,52,"327 917,18 €",,
6453,52,"480 538,78 €",,
6511211,52,"62 326 245,20 €",,
6511212,52,"3 131 315,30 €",,
651122,52,"6 535 798,60 €",,
651128,52,"2 789 459,99 €",,
6522,52,"524 404,36 €",,
652418,52,"3 758 845,50 €",,
65242,52,"58 613 213,45 €",,
65243,52,"2 429 638,85 €",,
5688,52,"8 698 472,50 €",,
65738,52,"2 493 000,00 €",,
6568,531,"195 492,00 €",,
65734,532,"221 785,00 €",,
65737,532,"110 879,00 €",,
6574,532,"1 021 623,00 €",,
64111,538,"2 783 692,59 €",,
64118,538,"586 558,73 €",,
