Nature,Fonction,Montant,
20422,94,"300 843,66 €",
204142,94,"607 543,45 €",
204152,93,"0,00 €",
20421,928,"691 646,90 €",
204152,91,"0,00 €",
204142,90,"0,00 €",
204142,74,"6 724 481,90 €",
2312,738,"1 466 074,74 €",
2111,738,"457 979,66 €",
20422,72,"4 447 128,00 €",
204182,72,"27 030,00 €",
204142,71,"8 230 785,83 €",
20422,68,"1 703 197,47 €",
20422,64,"175 174,90 €",
204152,64,"20 000,00 €",
204142,628,"0,00 €",
238,621,"0,00 €",
23151,621,"53 592 928,14 €",
231318,621,"0,00 €",
2182,621,"0,00 €",
2118,621,"0,00 €",
20422,621,"366 262,05 €",
2031,621,"732 591,04 €",
20422,61,"366 262,05 €",
204142,61,"7 187 961,52 €",
231351,60,"0,00 €",?
204142,60,"0,00 €",
20422,538,"402 169,00 €",
204182,51,"0,00 €",
2041722,51,"0,00 €",installation bat ccas
231313,50,"953 170,81 €",
21313,50,"953 170,81 €",
204132,33,"0,00 €",
204142,32,"2 316 023,20 €",
204142,313,"227 370,50 €",
204142,312,"439 911,31 €",
231351,311,"0,00 €",?
238,221,"0,00 €",
231351,221,"0,00 €",
231312,221,"23 048 497,54 €",
21841,221,"762 531,62 €",
21838,221,"0,00 €",
21831,221,"89 246,45 €",
21312,221,"0,00 €",
2031,221,"108 673,08 €",
21841,21,"762 531,62 €",
2157,21,"0,00 €",?
204142,21,"465 099,46 €",
231351,0202,"19 270 702,96 €",
21838,0202,"1 928 708,12 €",
2182,0202,"5 040 721,93 €",
2051,0202,"2 591 208,44 €",
204142,0202,"0,00 €",
16811,01,"0,00 €",
16449,01,"19 500 000,00 €",
16441,01,"4 539 008,11 €",
1641,01,"30 260 814,12 €",
