Nature,Fonction,Montant,verif,,,
7321,01,"271 575 288,23 €",,,,
73111,01,"315 636 241,00 €",,,,
7342,01,"121 706 632,17 €",,,,
7352,01,"8 549 193,08 €",,,,
73112,01,"54 589 131,00 €",,,,
7411,01,"71 284 505,00 €",,,,
747811,550,"50 625 127,41 €",,,,
73123,0202,"0,00 €",,,,
7326,01,"0,00 €",,73261,Attrib. fonds péréquation des DMTO,"12 264 735,00"
7513,538,"10 983 766,96 €",,,,
74122,01,"20 805 147,00 €",,,,
74832,01,"22 864 775,00 €",,,,
7513,52,"727 443,94 €",,,,
73121,01,"20 728 435,00 €",,,,
73125,01,"18 811 652,00 €",,,,
7351,01,"13 796 986,70 €",,,,
747812,52,"11 913 635,23 €",,,,
7327,738,"13 212 150,26 €",,,,
73114,01,"2 463 591,00 €",,,,
74783,567,"8 814 374,00 €",,,,
7461,01,"3 926 729,00 €",,,,
